DQN game 193, Run time: 0.29 seconds, Score: 1, Best: 1, Epsilon: 0.9084
DQN game 194, Run time: 0.25 seconds, Score: 0, Best: 1, Epsilon: 0.9080
DQN game 195, Run time: 1.09 seconds, Score: 0, Best: 1, Epsilon: 0.9075
DQN game 196, Run time: 0.17 seconds, Score: 0, Best: 1, Epsilon: 0.9071
DQN game 197, Run time: 0.20 seconds, Score: 0, Best: 1, Epsilon: 0.9066
DQN game 198, Run time: 0.30 seconds, Score: 0, Best: 1, Epsilon: 0.9062
DQN game 199, Run time: 0.20 seconds, Score: 0, Best: 1, Epsilon: 0.9057
DQN game 200, Run time: 0.70 seconds, Score: 0, Best: 1, Epsilon: 0.9053
DQN game 201, Run time: 0.18 seconds, Score: 0, Best: 1, Epsilon: 0.9048
DQN game 202, Run time: 0.09 seconds, Score: 1, Best: 1, Epsilon: 0.9044
DQN game 203, Run time: 0.73 seconds, Score: 0, Best: 1, Epsilon: 0.9039
DQN game 204, Run time: 0.78 seconds, Score: 0, Best: 1, Epsilon: 0.9035
DQN game 205, Run time: 0.40 seconds, Score: 1, Best: 1, Epsilon: 0.9030
DQN game 206, Run time: 0.23 seconds, Score: 1, Best: 1, Epsilon: 0.9026
DQN game 207, Run time: 0.20 seconds, Score: 0, Best: 1, Epsilon: 0.9021
DQN game 208, Run time: 0.39 seconds, Score: 0, Best: 1, Epsilon: 0.9017
DQN game 209, Run time: 0.28 seconds, Score: 1, Best: 1, Epsilon: 0.9012
DQN game 210, Run time: 0.29 seconds, Score: 0, Best: 1, Epsilon: 0.9008
DQN game 211, Run time: 0.44 seconds, Score: 0, Best: 1, Epsilon: 0.9003
DQN game 212, Run time: 0.10 seconds, Score: 1, Best: 1, Epsilon: 0.8999
DQN game 213, Run time: 0.11 seconds, Score: 0, Best: 1, Epsilon: 0.8994
DQN game 214, Run time: 0.26 seconds, Score: 0, Best: 1, Epsilon: 0.8990
DQN game 215, Run time: 0.30 seconds, Score: 1, Best: 1, Epsilon: 0.8985
DQN game 216, Run time: 0.49 seconds, Score: 1, Best: 1, Epsilon: 0.8981
DQN game 217, Run time: 0.24 seconds, Score: 0, Best: 1, Epsilon: 0.8976
DQN game 218, Run time: 0.64 seconds, Score: 1, Best: 1, Epsilon: 0.8972
DQN game 219, Run time: 0.74 seconds, Score: 0, Best: 1, Epsilon: 0.8967
DQN game 220, Run time: 0.25 seconds, Score: 0, Best: 1, Epsilon: 0.8963
DQN game 221, Run time: 0.34 seconds, Score: 1, Best: 1, Epsilon: 0.8958
DQN game 222, Run time: 0.80 seconds, Score: 1, Best: 1, Epsilon: 0.8954
DQN game 223, Run time: 0.30 seconds, Score: 0, Best: 1, Epsilon: 0.8949
DQN game 224, Run time: 0.40 seconds, Score: 0, Best: 1, Epsilon: 0.8945
DQN game 225, Run time: 0.10 seconds, Score: 0, Best: 1, Epsilon: 0.8940
DQN game 226, Run time: 0.49 seconds, Score: 0, Best: 1, Epsilon: 0.8936
